assetID,label,description,link,openTF,fileType,lastEdited,notes
gitODMgen,PHES-ODM github repo,"The general GItHub repository for the PHES-ODM. Hosts the files, templates, and tables for the various versions of the ODM and is where issues and commits can be logged, addressed, and tracked. ",https://github.com/Big-Life-Lab/PHES-ODM,T,-,18/12/2025,-
gitODMdoc,PHES-ODM Documentation github repo,"The GitHub repository for documentation for the PHES-ODM. Tracks all the pieces for documenting the structure, use cases, descriptions, details, and rationales for the ODM and its various versions. Also generates the website for documentation.",https://github.com/Big-Life-Lab/PHES-ODM-Doc,T,-,18/12/2025,-
gitODMval,PHES-ODM validation github repo,The GitHub repository for the application/tool that validates PHES-ODM formatted data to ensure that it meets quality standards and follows ODM rules.,https://github.com/Big-Life-Lab/PHES-ODM-Validation,T,-,18/12/2025,-
gitODMvalweb,PHES-ODM validation web tool github repo,The GitHub repository for the web tool version of the PHES-ODM validation tool. Aims to be an online application users can use to check/validate data and to make the tool (and thus the model) more accessible and easy to use. ,https://github.com/Big-Life-Lab/PHES-ODM-Validation-Web,F,-,18/12/2025,-
gitODMshare,PHES-ODM sharing library github repo,"The GitHub repositroy for the sharing tool for the PHES-ODM. It uses an ""allow-list"" type approach to automatically filter the data users wish to share.",https://github.com/Big-Life-Lab/PHES-ODM-sharing,T,-,18/12/2025,-
gitODMmapper,PHES-ODM mapping library github repo,"The GitHub repository for the mapping application for moving between other wastewater surveillance data structures and the ODM. It is based off an existing application called LinkML-Map, but this repository currently uses custom features in LinkML-Map that have not yet been added to a branch of the LinkML-Map repository. These new features will be added and merged soon. As such, the PHES-ODM-Mapper will not work unless you have access to these changes. Please contact mwellman@ohri.ca for questions.",https://github.com/Big-Life-Lab/PHES-ODM-Mapper,T,-,18/12/2025,-
gitODMlinkmlGen,PHES-ODM LinkML Generator github repo,The GitHub repository for generating LinkML schema files for the PHES-ODM and other similar dataa structures for environmental surveillance. It uses the LinkML Schemasheets application as a base but includes a few additional features to work best with wastewater and environmental data. ,https://github.com/Big-Life-Lab/PHES-ODM-LinkMLGenerator,T,-,18/12/2025,-
gitODMmap,PHES-ODM Map github repo,"A now obsolete GitHub repo for a PHES-ODM mapper, this repo was built to host an application to transform data from various database formats to ODM before the PHES-ODM pivotted to using existing LinkML infrastructure.",https://github.com/Big-Life-Lab/PHES-ODM-Map,T,-,18/12/2025,-
gitODMmapGen,PHES-ODM Mapping Generator github repo,"The PHES-ODM Map Generator generates LinkML Mapper specifications for mapping between various data formats, such as ODM v1 to ODM v2, ODM v2 Wide to Long, NWSS to ODM, etc. Not to be confused with the LinkML generator which just generated the linkML description/structure files for a data structure, the mapping generator generates the LinkML mapper file for moving between data structures.",https://github.com/Big-Life-Lab/PHES-ODM-MapGenerator,T,-,18/12/2025,-
gitODMconduct,PHES-ODM Conductor Github Repo,"The GitHub repository for the website that hosts the OADP/PCR analyzer application. Was originally slated to be the web home of ""the conductor"" that was the hub for all PHES-ODM tools to work together in one place.",https://github.com/martinwellman/phes-odm-conductor,F,-,18/12/2025,-
gitODMpcrAnalyzer,PCR Analyzer Application Github Repo,The GitHub repository for the OADP/PCR analyzer application. An application developped initially with the Delatolla group that would take raw PCR machine output files and transform them into ODM-compliant data and also allow for automatic QA/QC checks.,https://github.com/martinwellman/ottawa-automatic-data-pipeline,T,-,18/12/2025,-
gitODM,PHES-ODM GitHub Organization,"The GitHub organization for the PHES-ODM, build to transition the remaining repos as the PHES-ODM wok does not really belong in the same organization as BigLifeLab predictive algorithm work.",https://github.com/PHES-ODM,T,-,18/12/2025,-
gitODMgithub,PHES-ODM Github Organization Repo,The GitHub repository tused to generate a readme file and additional features for the PHES-ODM GitHub organization.,https://github.com/PHES-ODM/.github,T,-,18/12/2025,-
gitODMrelAuto,PHES-ODM Release Automation Github Repo,The repository for testing the process to automate new version releases of the ODM and streamline the otherwise rather onerous and complicated process.,https://github.com/Big-Life-Lab/release-automation-testing,T,-,18/12/2025,-
webODM,PHES-ODM Official Website,"The official website and project space for the PHES-ODM. Host links linking various assets together and seeking to support uptake, adoption, and use of the model.",https://www.phes-odm.org,T,-,18/12/2025,-
lucidODM,Lucid Chart project for PHES-ODM ERD,The LucidChart project for the ODM. Used to generate and edit the Entity Relationship Diagram (ERD) for the ODM's relational database structure. Also used to generate the SQL database code.,https://lucid.app/lucidchart/847978df-d627-4b8a-a379-faca7a517ef4/edit?invitationId=inv_0de7777b-888b-4d8a-827d-2306bdc48cce&page=ztJGI_4dY9KX#,F,-,18/12/2025,-
discODM,PHES-ODM Discourse Discussion Board,"The public discussion board for the PHES-ODM project. An open board for questions and discussions about the ODM, either from users or the maintainers of the model.",https://odm.discourse.group,T,-,18/12/2025,-
oadp,Web Interface for the OADP/PCR Analyzer,The web address for the web interface for the OADP/QPCR analyzer tool.,https://oadp.phes-odm.org,F,-,18/12/2025,-
webODMdoc,PHES-ODM Documentation Website,The website that hots the documentation as a website for use and understanding of the ODM. ,https://docs.phes-odm.org,T,-,18/12/2025,-
vimeoODM,Vimeo Library for Instruction Videos,The Vimeo library where all videos on the ODM made by the PHES-ODM team are hosted and uploaded. The videos are intended as a documentation and teaching support tool.,https://vimeo.com/user/126292027/folder/6496228?isPrivate=false,T,-,18/12/2025,-
osfODM,PHES-ODM OSF.io Repository,The open science foundation (OSF) repository for the PHES-ODM research project.,https://osf.io/49z2b/overview,T,-,18/12/2025,-
gitODMnewPart,PHES-ODM Part Request form (GitHub),The YAML file structure that builds the optional form for submitting a new issue on GitHub for the inclusion of a new part.,https://github.com/Big-Life-Lab/PHES-ODM/blob/main/.github/ISSUE_TEMPLATE/new-part-request.yaml,T,yaml,18/12/2025,-
googleODMnewPart,PHES-ODM Part Request form (Google),The Google Form users can use if they're uncomfortable with GitHub to generate a request for a new part.,https://docs.google.com/forms/d/1vKm0izuQ7fvZWScwHztRfqJpfQk2tsS6jL_a3ZEeBUE/edit,T,-,18/12/2025,-
emailODM,PHES-ODM Email Address,The email address for the general project. Used for the general PHES-ODM OSF profile and for general contact and inquiries on the project.,phes_odm@ohri.ca,F,-,18/12/2025,phes_odm@ohri.ca
googleODM,PHES-ODM Google Account,"The google account made using the PHES-ODM general email address (phes_odm@ohri.ca) - the main purpose of this was to manage the ""new part request"" google form.",phes_odm@ohri.ca,F,-,18/12/2025,-
carrdODM,PHES-ODM Carrd,The CARRD used for some presentations as a resource directory for folks interested in exploring the ODM and potentially adopting it.,https://phes-odm.carrd.co,T,-,18/12/2025,-
zenodoODM,PHES-ODM Zenodo Repository (PHESD),The Zenodo repository for the version 1 ODM data generated by the Delatolla group.,https://zenodo.org/records/5660202,T,-,18/12/2025,-
iwaODM,PHES-ODM Publication,"A comprehensive, open-source data model for wastewater-based epidemiolog",https://iwaponline.com/wst/article/89/1/1/99450/A-comprehensive-open-source-data-model-for,T,pdf,18/12/2025,-
